player_name,position,stat_season,start_year,aav,cap_at_signing,aav_pct_cap,age_at_signing,gp_pct,toi_per_game,save_pct,hd_save_pct,gsaa,gsaa_per60,gaa,sa_per60,position_group
John Gibson,G,2019,2019,6400000.0,81500000.0,0.0785276073619632,25.0,0.6341463414634146,57.87916666666667,0.9038461538461539,0.6636363636363637,-18.02000000000001,-0.35923647297918426,2.990314702934385,31.099272910517605,G
Adin Hill,G,2024,2025,6250000.0,88000000.0,0.07102272727272728,28.0,0.6097560975609756,58.80433333333333,0.9064191802010828,0.7297297297297297,14.530000000000001,0.29650876069223925,2.4692057841542288,26.385810569515854,G
Jordan Binnington,G,2020,2021,6000000.0,81500000.0,0.0736196319018405,27.0,0.5121951219512195,58.27777777777777,0.9098497495826378,0.6972477064220184,0.0799999999999983,0.0019610513414135495,2.647419310908348,29.36674383766853,G
Jacob Markstrom,G,2019,2020,6000000.0,81500000.0,0.0736196319018405,29.0,0.524390243902439,59.36782945736434,0.9169623846699787,0.7009345794392523,1.0300000000000011,0.024208553950211886,2.7499037011405703,33.11636166587234,G
Phillip Grubauer,G,2020,2021,5900000.0,81500000.0,0.07239263803680981,29.0,0.4878048780487805,59.17,0.9224572004028198,0.7701149425287356,5.239999999999995,0.13283758661483847,1.95200270407301,25.173229677201284,G
Logan Thompson,G,2024,2025,5850000.0,88000000.0,0.06647727272727273,27.0,0.524390243902439,58.95697674418605,0.9104095563139932,0.7935483870967742,25.960000000000008,0.6144015147032721,2.4850600556180105,27.738003668421985,G
Filip Gustavsson,G,2024,2026,6800000.0,,,27.0,0.7073170731707317,59.02729885057472,0.9137625516834023,0.7613636363636364,15.319999999999993,0.2684906165567265,2.55872258598447,29.67066669912129,G
Linus Ullmark,G,2024,2025,8250000.0,88000000.0,0.09375,31.0,0.5365853658536586,56.07462121212121,0.9089430894308943,0.7533333333333333,13.840000000000003,0.3365645075217683,2.7236434134709566,29.911441058654255,G
Lukas Dostal,G,2024,2025,6500000.0,88000000.0,0.07386363636363637,25.0,0.6585365853658537,56.62314814814815,0.9027692307692308,0.7714285714285715,14.349999999999994,0.2815888018576357,3.100420257387209,31.887233659836806,G
Elvis Merzlikins,G,2021,2022,5400000.0,82500000.0,0.06545454545454546,27.0,0.7195121951219512,56.273163841807914,0.9073881373569199,0.71875,4.030000000000001,0.07282876605741767,3.216754431320185,34.73371919661457,G
Tristan Jarry,G,2022,2023,5375000.0,83500000.0,0.06437125748502993,28.0,0.573170731707317,56.38368794326241,0.9094766619519095,0.638095238095238,-2.819999999999993,-0.06384825348108814,2.898076753751525,32.01469163909888,G
MacKenzie Blackwood,G,2024,2025,5250000.0,88000000.0,0.05965909090909091,28.0,0.6829268292682927,57.56488095238095,0.9116129032258065,0.7861635220125787,13.319999999999993,0.2479190147762875,2.5499177946209763,28.84943490264608,G
Darcy Kuemper,G,2021,2022,5250000.0,82500000.0,0.06363636363636363,31.0,0.6951219512195121,57.171052631578945,0.9213675213675213,0.7125,20.97,0.3860989643268124,2.5408515535097815,32.313003452243954,G
Thatcher Demko,G,2024,2026,8500000.0,,,29.0,0.2804878048780488,56.607246376811595,0.8892794376098418,0.7625,1.4399999999999977,0.0663611459586778,2.9033001356921577,26.221869479505365,G
Joey Daccord,G,2024,2025,5000000.0,88000000.0,0.056818181818181816,28.0,0.6951219512195121,57.81140350877193,0.905625,0.7889447236180904,19.05000000000001,0.34686290873226633,2.749412032470981,29.132842728169333,G
Thatcher Demko,G,2021,2022,5000000.0,82500000.0,0.06060606060606061,26.0,0.7804878048780488,57.82265625,0.9145907473309609,0.6894409937888198,10.5,0.17024036317944144,2.723845810871063,31.89169470228203,G
Karel Vejmelka,G,2024,2025,4750000.0,88000000.0,0.05397727272727273,28.0,0.7073170731707317,58.07471264367816,0.9039098740888005,0.6503067484662577,14.180000000000007,0.2525878278080159,2.5828797624938145,26.87976249381494,G
Ukko-Pekka Luukkonen,G,2023,2024,4750000.0,88000000.0,0.05397727272727273,25.0,0.6585365853658537,57.059876543209874,0.9102040816326531,0.7573529411764706,9.449999999999989,0.18401722254075728,2.5703992989820095,28.624901284117833,G
Igor Shesterkin,G,2020,2021,5666667.0,81500000.0,0.0695296564417178,25.0,0.4268292682926829,54.257619047619045,0.9159919028340081,0.6951219512195121,2.989999999999995,0.09446994497152018,2.622409843691033,31.216155729719766,G
Kevin Lankinen,G,2024,2025,4500000.0,88000000.0,0.05113636363636364,29.0,0.6219512195121951,59.211437908496734,0.9018587360594795,0.7835820895522388,0.09000000000000341,0.0017882077632501907,2.6227047194335134,26.723771573015725,G
Joonas Korpisalo,G,2022,2023,4000000.0,83500000.0,0.04790419161676647,29.0,0.47560975609756095,55.69102564102564,0.9138359569179785,0.7218045112781954,12.739999999999995,0.3519418034485139,2.8729943138654206,33.34330900803426,G
Juuse Saros,G,2020,2021,5000000.0,81500000.0,0.06134969325153374,25.0,0.43902439024390244,56.98240740740741,0.927170868347339,0.6753246753246753,13.150000000000006,0.3846216343575829,2.2814058920069544,31.32545782486472,G
Linus Ullmark,G,2020,2021,5000000.0,81500000.0,0.06134969325153374,27.0,0.24390243902439024,55.854166666666664,0.9170896785109983,0.6486486486486487,-3.5700000000000003,-0.19174934725848566,2.6318537859007836,31.74337933606863,G
Spencer Knight,G,2024,2026,5833333.0,,,24.0,0.4634146341463415,57.96973684210526,0.9011857707509882,0.792,6.900000000000006,0.18793835258869207,2.723744240415825,27.564291713008153,G
Anthony Stolarz,G,2024,2026,3750000.0,,,31.0,0.4146341463414634,58.438235294117646,0.9256544502617801,0.8198198198198198,25.78,0.778499169560622,2.1440434848256076,28.838894760682468,G
Spencer Knight,G,2022,2023,4500000.0,83500000.0,0.05389221556886228,21.0,0.25609756097560976,55.654761904761905,0.9011164274322169,0.7627118644067796,-4.479999999999997,-0.22998930481283406,3.182887700534759,32.188235294117646,G
Jacob Markstrom,G,2024,2026,6000000.0,,,35.0,0.5975609756097561,59.2452380952381,0.9003294892915981,0.8306451612903226,3.430000000000007,0.07089177349998003,2.5008468202616814,25.091140824774225,G
Filip Gustavsson,G,2022,2023,3750000.0,83500000.0,0.04491017964071856,25.0,0.47560975609756095,59.25470085470086,0.9309462915601023,0.7291666666666666,24.159999999999997,0.6272790214631894,2.103046388183706,30.455227325178857,G
Joseph Woll,G,2024,2025,3666667.0,88000000.0,0.04166667045454545,25.0,0.5121951219512195,58.15079365079365,0.9087171052631579,0.8344827586206897,16.849999999999994,0.41394840999044613,2.726900504981575,29.87307219871707,G
Semyon Varlamov,G,2022,2023,2750000.0,83500000.0,0.03293413173652695,35.0,0.2804878048780488,58.03188405797101,0.9129172714078374,0.7931034482758621,3.549999999999997,0.15958243843963824,2.697167973627691,30.972478897157984,G
Adin Hill,G,2022,2023,4900000.0,83500000.0,0.058682634730538925,27.0,0.32926829268292684,55.21851851851852,0.9141274238227147,0.7288135593220338,0.8699999999999974,0.03501240861224753,2.495137165470521,29.05627473338252,G
Samuel Montembeault,G,2023,2024,3150000.0,88000000.0,0.03579545454545455,27.0,0.5,59.238211382113825,0.9028309104820199,0.7880794701986755,3.3400000000000034,0.08251101382045765,3.137394836885662,32.28799253393354,G
Jake Allen,G,2024,2025,1800000.0,88000000.0,0.020454545454545454,34.0,0.3780487804878049,56.06989247311828,0.9062119366626066,0.8114754098360656,18.42,0.6358423626426312,2.657972960015342,28.340205197046693,G
Charlie Lindgren,G,2024,2025,3000000.0,88000000.0,0.03409090909090909,31.0,0.47560975609756095,58.64102564102564,0.894630192502533,0.7155963302752294,-0.9699999999999989,-0.025448185395714883,2.728465238303454,25.89418452120682,G
Petr Mrazek,G,2023,2024,4250000.0,88000000.0,0.048295454545454544,31.0,0.6829268292682927,56.297619047619044,0.9072463768115943,0.7976190476190477,1.5999999999999943,0.030450412349333787,3.0450412349333895,32.82935081412561,G
Karel Vejmelka,G,2021,2022,2725000.0,82500000.0,0.03303030303030303,25.0,0.6341463414634146,53.33141025641025,0.8981426003594967,0.6349206349206349,-23.19999999999999,-0.5019411757635489,3.678017236198421,36.10947510126567,G
Pyotr Kochetkov,G,2022,2023,2000000.0,83500000.0,0.023952095808383235,23.0,0.2926829268292683,58.49722222222223,0.9090909090909091,0.8253968253968254,4.920000000000002,0.2102663944156893,2.4360131060354244,26.796144166389666,G
Stuart Skinner,G,2022,2023,2600000.0,83500000.0,0.031137724550898204,24.0,0.6097560975609756,58.06166666666667,0.9134677944046844,0.672,6.75,0.13950684616930276,2.7488015615581136,31.766225564773084,G
